"Country or Area","Year","Value","Value Footnotes"
"East Asia & Pacific (all income levels)","2015","29.9396190744352",""
"East Asia & Pacific (all income levels)","2014","32.3777207564027",""
"East Asia & Pacific (all income levels)","2013","32.4508814679823",""
"East Asia & Pacific (all income levels)","2012","32.711801553205",""
"East Asia & Pacific (all income levels)","2011","33.5509398836765",""
"East Asia & Pacific (all income levels)","2010","32.630746599272",""
"East Asia & Pacific (all income levels)","2009","29.876821488792",""
"East Asia & Pacific (all income levels)","2008","36.200653689525",""
"East Asia & Pacific (all income levels)","2007","36.4762221672508",""
"East Asia & Pacific (all income levels)","2006","36.3160184708156",""
"East Asia & Pacific (all income levels)","2005","34.6184935902618",""
"East Asia & Pacific (all income levels)","2004","32.6867158476124",""
"East Asia & Pacific (all income levels)","2003","29.6167507541985",""
"East Asia & Pacific (all income levels)","2002","27.2509679840218",""
"East Asia & Pacific (all income levels)","2001","26.4714726502622",""
"East Asia & Pacific (all income levels)","2000","27.4083408804325",""
"East Asia & Pacific (all income levels)","1999","25.0751074530906",""
"East Asia & Pacific (all income levels)","1998","26.1620088888274",""
"East Asia & Pacific (all income levels)","1997","24.3862913132562",""
"East Asia & Pacific (all income levels)","1996","22.9414931356527",""
"East Asia & Pacific (all income levels)","1995","23.8995813272383",""
"East Asia & Pacific (all income levels)","1994","23.5317828847929",""
"East Asia & Pacific (all income levels)","1993","20.8412476700123",""
"East Asia & Pacific (all income levels)","1992","21.9406881139452",""
"East Asia & Pacific (all income levels)","1991","22.0814109988725",""
"East Asia & Pacific (all income levels)","1990","21.6247785720285",""
"East Asia & Pacific (all income levels)","1989","20.1646207356914",""
"East Asia & Pacific (all income levels)","1988","20.4098305759659",""
"East Asia & Pacific (all income levels)","1987","20.2721927025276",""
"East Asia & Pacific (all income levels)","1986","19.1267100272792",""
"East Asia & Pacific (all income levels)","1985","19.4149003616718",""
"East Asia & Pacific (all income levels)","1984","19.5060423168592",""
"East Asia & Pacific (all income levels)","1983","18.6891052070836",""
"East Asia & Pacific (all income levels)","1982","19.0827810641205",""
"East Asia & Pacific (all income levels)","1981","19.6216241317551",""
"East Asia & Pacific (all income levels)","1980","19.0231737330624",""
"East Asia & Pacific (all income levels)","1979","17.107572414685",""
"East Asia & Pacific (all income levels)","1978","15.9501044855029",""
"East Asia & Pacific (all income levels)","1977","16.6061970132274",""
"East Asia & Pacific (all income levels)","1976","16.6320613264243",""
"East Asia & Pacific (all income levels)","1975","15.6479477310365",""
"East Asia & Pacific (all income levels)","1974","16.6504888814858",""
"East Asia & Pacific (all income levels)","1973","14.4800614237964",""
"East Asia & Pacific (all income levels)","1972","12.9879249382148",""
"East Asia & Pacific (all income levels)","1971","12.8864704636389",""
"East Asia & Pacific (all income levels)","1970","12.3318218716492",""
"East Asia & Pacific (all income levels)","1969","12.2555939061332",""
"East Asia & Pacific (all income levels)","1968","12.0041116135406",""
"East Asia & Pacific (all income levels)","1967","11.3840537172788",""
"East Asia & Pacific (all income levels)","1966","11.9758727080406",""
"East Asia & Pacific (all income levels)","1965","11.4218324929526",""
"East Asia & Pacific (all income levels)","1964","11.1120912115386",""
"East Asia & Pacific (all income levels)","1963","10.9764698290288",""
"East Asia & Pacific (all income levels)","1962","11.1534570849582",""
"East Asia & Pacific (all income levels)","1961","11.2175008406057",""
"East Asia & Pacific (all income levels)","1960","12.5115206535385",""
